member,expression,file_name,augmentation,mean_intensity,std_intensity,min_intensity,max_intensity,hist_bin_00,hist_bin_01,hist_bin_02,hist_bin_03,hist_bin_04,hist_bin_05,hist_bin_06,hist_bin_07,hist_bin_08,hist_bin_09,hist_bin_10,hist_bin_11,hist_bin_12,hist_bin_13,hist_bin_14,hist_bin_15
chol,surprised,chol_surprised.jpg,original,194.0445556640625,51.09816941081696,10.0,254.0,0.00030517578125,0.0028076171875,0.0072021484375,0.01409912109375,0.0211181640625,0.03790283203125,0.0513916015625,0.02484130859375,0.0177001953125,0.0213623046875,0.0286865234375,0.0489501953125,0.10003662109375,0.28985595703125,0.29022216796875,0.04351806640625
chol,surprised,chol_surprised.jpg,rotated,193.00836181640625,51.359960788243114,11.0,253.0,0.000244140625,0.00274658203125,0.00738525390625,0.013427734375,0.02191162109375,0.0374755859375,0.0518798828125,0.03192138671875,0.017333984375,0.0213623046875,0.0311279296875,0.047607421875,0.101806640625,0.292236328125,0.28228759765625,0.03924560546875
chol,surprised,chol_surprised.jpg,flipped,194.0445556640625,51.09816941081696,10.0,254.0,0.00030517578125,0.0028076171875,0.0072021484375,0.01409912109375,0.0211181640625,0.03790283203125,0.0513916015625,0.02484130859375,0.0177001953125,0.0213623046875,0.0286865234375,0.0489501953125,0.10003662109375,0.28985595703125,0.29022216796875,0.04351806640625
chol,surprised,chol_surprised.jpg,grayscale,194.046875,51.0975545697425,10.0,254.0,0.00030517578125,0.00274658203125,0.00726318359375,0.01409912109375,0.0211181640625,0.037841796875,0.05133056640625,0.02496337890625,0.0177001953125,0.0213623046875,0.028564453125,0.04888916015625,0.10015869140625,0.2896728515625,0.29071044921875,0.04327392578125
chol,surprised,chol_surprised.jpg,brightened,221.64447021484375,49.281269840254325,40.0,255.0,0.0,0.0,0.00054931640625,0.0028076171875,0.00830078125,0.01470947265625,0.0234375,0.0401611328125,0.0501708984375,0.02142333984375,0.0185546875,0.021484375,0.03082275390625,0.05157470703125,0.1138916015625,0.60211181640625
ineza,neutral,ineza_neutral.jpg,original,171.214111328125,46.295106341630955,1.0,247.0,0.0054931640625,0.004150390625,0.00457763671875,0.00555419921875,0.03216552734375,0.05059814453125,0.02862548828125,0.04266357421875,0.06915283203125,0.07525634765625,0.07257080078125,0.23602294921875,0.1429443359375,0.1654052734375,0.0628662109375,0.001953125
ineza,neutral,ineza_neutral.jpg,rotated,172.333740234375,45.48483869433538,3.0,243.0,0.0040283203125,0.00537109375,0.00408935546875,0.006103515625,0.02960205078125,0.05303955078125,0.02581787109375,0.03717041015625,0.06109619140625,0.06768798828125,0.0799560546875,0.24835205078125,0.14617919921875,0.17254638671875,0.05853271484375,0.00042724609375
ineza,neutral,ineza_neutral.jpg,flipped,171.214111328125,46.295106341630955,1.0,247.0,0.0054931640625,0.004150390625,0.00457763671875,0.00555419921875,0.03216552734375,0.05059814453125,0.02862548828125,0.04266357421875,0.06915283203125,0.07525634765625,0.07257080078125,0.23602294921875,0.1429443359375,0.1654052734375,0.0628662109375,0.001953125
ineza,neutral,ineza_neutral.jpg,grayscale,171.213134765625,46.293245283985485,1.0,247.0,0.0054931640625,0.004150390625,0.00457763671875,0.00555419921875,0.0321044921875,0.05072021484375,0.02862548828125,0.04266357421875,0.069091796875,0.0753173828125,0.072509765625,0.2359619140625,0.14306640625,0.1654052734375,0.06280517578125,0.001953125
ineza,neutral,ineza_neutral.jpg,brightened,200.5916748046875,45.58404780281761,31.0,255.0,0.0,0.0001220703125,0.00604248046875,0.00390625,0.0047607421875,0.006103515625,0.0380859375,0.048583984375,0.02691650390625,0.0474853515625,0.07110595703125,0.074462890625,0.07647705078125,0.24603271484375,0.13818359375,0.21173095703125
ineza,smile,ineza_smile.jpg,original,159.41900634765625,54.95562869784273,2.0,243.0,0.009033203125,0.00897216796875,0.0089111328125,0.02593994140625,0.07257080078125,0.05914306640625,0.03076171875,0.0447998046875,0.0718994140625,0.1053466796875,0.0994873046875,0.0919189453125,0.10540771484375,0.21112060546875,0.05450439453125,0.00018310546875
ineza,smile,ineza_smile.jpg,rotated,162.820068359375,54.35415119872989,2.0,239.0,0.008056640625,0.0093994140625,0.00860595703125,0.02423095703125,0.06280517578125,0.05242919921875,0.03155517578125,0.04296875,0.07080078125,0.09552001953125,0.10443115234375,0.08270263671875,0.1141357421875,0.23956298828125,0.05279541015625,0.0
ineza,smile,ineza_smile.jpg,flipped,159.41900634765625,54.95562869784273,2.0,243.0,0.009033203125,0.00897216796875,0.0089111328125,0.02593994140625,0.07257080078125,0.05914306640625,0.03076171875,0.0447998046875,0.0718994140625,0.1053466796875,0.0994873046875,0.0919189453125,0.10540771484375,0.21112060546875,0.05450439453125,0.00018310546875
ineza,smile,ineza_smile.jpg,grayscale,159.42041015625,54.95235874703671,1.0,243.0,0.00897216796875,0.00897216796875,0.009033203125,0.02593994140625,0.0723876953125,0.059326171875,0.03057861328125,0.044921875,0.0718994140625,0.10516357421875,0.09954833984375,0.09210205078125,0.10546875,0.2113037109375,0.05419921875,0.00018310546875
ineza,smile,ineza_smile.jpg,brightened,188.91046142578125,54.387020294331904,32.0,255.0,0.0,0.0,0.0098876953125,0.00921630859375,0.00927734375,0.0323486328125,0.0765380859375,0.05157470703125,0.03033447265625,0.04840087890625,0.07696533203125,0.1038818359375,0.10028076171875,0.0946044921875,0.11541748046875,0.24127197265625
ineza,surprised,ineza_surprised.jpg,original,171.4222412109375,45.221841511204225,1.0,246.0,0.0062255859375,0.00543212890625,0.005126953125,0.0068359375,0.028076171875,0.03729248046875,0.02691650390625,0.06072998046875,0.064208984375,0.05828857421875,0.07647705078125,0.24713134765625,0.1649169921875,0.173828125,0.036376953125,0.00213623046875
ineza,surprised,ineza_surprised.jpg,rotated,171.2496337890625,44.8380243226534,2.0,243.0,0.0054931640625,0.00543212890625,0.00628662109375,0.0076904296875,0.02880859375,0.03546142578125,0.0263671875,0.05682373046875,0.06353759765625,0.05523681640625,0.08782958984375,0.2552490234375,0.15618896484375,0.17987060546875,0.02960205078125,0.0001220703125
ineza,surprised,ineza_surprised.jpg,flipped,171.4222412109375,45.221841511204225,1.0,246.0,0.0062255859375,0.00543212890625,0.005126953125,0.0068359375,0.028076171875,0.03729248046875,0.02691650390625,0.06072998046875,0.064208984375,0.05828857421875,0.07647705078125,0.24713134765625,0.1649169921875,0.173828125,0.036376953125,0.00213623046875
ineza,surprised,ineza_surprised.jpg,grayscale,171.4210205078125,45.217698378121966,1.0,246.0,0.0062255859375,0.00543212890625,0.005126953125,0.0068359375,0.02801513671875,0.03729248046875,0.02703857421875,0.060546875,0.064453125,0.0579833984375,0.07659912109375,0.24713134765625,0.1650390625,0.173828125,0.03631591796875,0.00213623046875
ineza,surprised,ineza_surprised.jpg,brightened,200.91644287109375,44.649113901735106,31.0,255.0,0.0,0.00018310546875,0.0068359375,0.005615234375,0.0047607421875,0.007080078125,0.03289794921875,0.0343017578125,0.0291748046875,0.06414794921875,0.062744140625,0.0599365234375,0.07916259765625,0.271728515625,0.1519775390625,0.189453125
nziza,neutral,nziza_neutral.jpeg,original,156.64984130859375,68.76774546353055,7.0,255.0,0.00726318359375,0.02490234375,0.03082275390625,0.07000732421875,0.0919189453125,0.06951904296875,0.04547119140625,0.02996826171875,0.021240234375,0.0128173828125,0.00946044921875,0.05120849609375,0.1910400390625,0.25567626953125,0.06768798828125,0.02099609375
nziza,neutral,nziza_neutral.jpeg,rotated,158.08734130859375,66.92011292998704,8.0,254.0,0.00823974609375,0.02252197265625,0.029296875,0.06439208984375,0.08056640625,0.0634765625,0.052978515625,0.03228759765625,0.023681640625,0.0128173828125,0.0091552734375,0.06298828125,0.217041015625,0.2396240234375,0.0670166015625,0.013916015625
nziza,neutral,nziza_neutral.jpeg,flipped,156.64984130859375,68.76774546353055,7.0,255.0,0.00726318359375,0.02490234375,0.03082275390625,0.07000732421875,0.0919189453125,0.06951904296875,0.04547119140625,0.02996826171875,0.021240234375,0.0128173828125,0.00946044921875,0.05120849609375,0.1910400390625,0.25567626953125,0.06768798828125,0.02099609375
nziza,neutral,nziza_neutral.jpeg,grayscale,156.64959716796875,68.76686198461272,7.0,255.0,0.00726318359375,0.02484130859375,0.0308837890625,0.06988525390625,0.0921630859375,0.06939697265625,0.04547119140625,0.0299072265625,0.0211181640625,0.01300048828125,0.0093994140625,0.05126953125,0.1910400390625,0.25567626953125,0.06768798828125,0.02099609375
nziza,neutral,nziza_neutral.jpeg,brightened,185.8427734375,67.86041967969929,37.0,255.0,0.0,0.0,0.0113525390625,0.02294921875,0.03509521484375,0.07415771484375,0.090576171875,0.06829833984375,0.04119873046875,0.0291748046875,0.0206298828125,0.01202392578125,0.00909423828125,0.07183837890625,0.20477294921875,0.308837890625
nziza,smile,nziza_smile.jpeg,original,161.48260498046875,68.59160599689737,6.0,255.0,0.00457763671875,0.015869140625,0.0396728515625,0.07183837890625,0.0831298828125,0.05877685546875,0.03814697265625,0.022705078125,0.01922607421875,0.017333984375,0.009521484375,0.06695556640625,0.192138671875,0.23834228515625,0.07763671875,0.04412841796875
nziza,smile,nziza_smile.jpeg,rotated,162.626220703125,67.15919869758193,6.0,255.0,0.0091552734375,0.0140380859375,0.03997802734375,0.0665283203125,0.0697021484375,0.05291748046875,0.0428466796875,0.02362060546875,0.0189208984375,0.01690673828125,0.0098876953125,0.08447265625,0.2171630859375,0.2247314453125,0.0721435546875,0.0369873046875
nziza,smile,nziza_smile.jpeg,flipped,161.48260498046875,68.59160599689737,6.0,255.0,0.00457763671875,0.015869140625,0.0396728515625,0.07183837890625,0.0831298828125,0.05877685546875,0.03814697265625,0.022705078125,0.01922607421875,0.017333984375,0.009521484375,0.06695556640625,0.192138671875,0.23834228515625,0.07763671875,0.04412841796875
nziza,smile,nziza_smile.jpeg,grayscale,161.48291015625,68.59236865727387,6.0,255.0,0.00457763671875,0.01580810546875,0.03985595703125,0.07171630859375,0.08319091796875,0.0587158203125,0.03802490234375,0.0228271484375,0.01922607421875,0.01739501953125,0.00946044921875,0.06683349609375,0.1922607421875,0.23828125,0.07769775390625,0.04412841796875
nziza,smile,nziza_smile.jpeg,brightened,189.98388671875,66.94574681583106,36.0,255.0,0.0,0.0,0.00604248046875,0.0166015625,0.04498291015625,0.0745849609375,0.08050537109375,0.05780029296875,0.03472900390625,0.022705078125,0.01812744140625,0.0164794921875,0.009765625,0.08795166015625,0.2052001953125,0.32452392578125
nziza,surprised,nziza_surprised.jpeg,original,167.5439453125,65.4964311442817,8.0,255.0,0.00469970703125,0.0126953125,0.0296630859375,0.052001953125,0.06805419921875,0.05975341796875,0.04595947265625,0.03839111328125,0.02093505859375,0.01715087890625,0.0140380859375,0.02362060546875,0.18890380859375,0.29339599609375,0.10870361328125,0.02203369140625
nziza,surprised,nziza_surprised.jpeg,rotated,169.0115966796875,64.13207721126054,7.0,255.0,0.00750732421875,0.012939453125,0.02972412109375,0.05010986328125,0.05560302734375,0.048828125,0.0487060546875,0.0384521484375,0.022705078125,0.016845703125,0.01446533203125,0.0169677734375,0.2381591796875,0.2791748046875,0.10150146484375,0.018310546875
nziza,surprised,nziza_surprised.jpeg,flipped,167.5439453125,65.4964311442817,8.0,255.0,0.00469970703125,0.0126953125,0.0296630859375,0.052001953125,0.06805419921875,0.05975341796875,0.04595947265625,0.03839111328125,0.02093505859375,0.01715087890625,0.0140380859375,0.02362060546875,0.18890380859375,0.29339599609375,0.10870361328125,0.02203369140625
nziza,surprised,nziza_surprised.jpeg,grayscale,167.5440673828125,65.49534540698167,8.0,255.0,0.00469970703125,0.0126953125,0.0296630859375,0.05194091796875,0.0682373046875,0.05963134765625,0.0457763671875,0.03863525390625,0.02093505859375,0.01715087890625,0.01397705078125,0.023681640625,0.1888427734375,0.29339599609375,0.10870361328125,0.02203369140625
nziza,surprised,nziza_surprised.jpeg,brightened,196.53875732421875,64.4837026847274,38.0,255.0,0.0,0.0,0.005859375,0.0128173828125,0.03472900390625,0.05352783203125,0.069091796875,0.0572509765625,0.04608154296875,0.03546142578125,0.01934814453125,0.017822265625,0.01239013671875,0.03448486328125,0.2122802734375,0.38885498046875
